status,symbol,direction,time_utc,price_or_na,reason_or_outcome
REJECTED,GBPUSD,SELL,2026-08-07 00:00:00+00:00,,CORRELATED_OR_PORTFOLIO_RISK_CAP
REJECTED,EURUSD,BUY,2026-08-12 14:00:00+00:00,,CORRELATED_OR_PORTFOLIO_RISK_CAP
REJECTED,GBPUSD,SELL,2026-08-12 22:00:00+00:00,,CORRELATED_OR_PORTFOLIO_RISK_CAP
REJECTED,GBPUSD,BUY,2026-08-14 08:00:00+00:00,,CORRELATED_OR_PORTFOLIO_RISK_CAP
REJECTED,GBPUSD,SELL,2026-08-25 05:00:00+00:00,,CORRELATED_OR_PORTFOLIO_RISK_CAP
REJECTED,GBPUSD,SELL,2026-08-26 10:00:00+00:00,,CORRELATED_OR_PORTFOLIO_RISK_CAP
REJECTED,GBPUSD,BUY,2026-09-03 17:00:00+00:00,,CORRELATED_OR_PORTFOLIO_RISK_CAP
ACCEPTED,EURUSD,BUY,2026-07-23 05:00:00+00:00,1.14342,CLOSED_SL
ACCEPTED,EURUSD,SELL,2026-07-23 12:00:00+00:00,1.13939,CLOSED_SL
ACCEPTED,EURUSD,BUY,2026-07-27 06:00:00+00:00,1.14076,CLOSED_SL
ACCEPTED,EURUSD,SELL,2026-07-27 14:00:00+00:00,1.13736,CLOSED_SL
ACCEPTED,EURUSD,BUY,2026-07-28 23:00:00+00:00,1.13867,CLOSED_TP
ACCEPTED,GBPUSD,BUY,2026-07-29 20:00:00+00:00,1.33482,CLOSED_TP
ACCEPTED,GBPUSD,SELL,2026-08-04 03:00:00+00:00,1.34262,CLOSED_SL
ACCEPTED,GBPUSD,BUY,2026-08-04 13:00:00+00:00,1.34449,CLOSED_OPPOSITE_SIGNAL_EXIT
ACCEPTED,EURUSD,SELL,2026-08-06 20:00:00+00:00,1.15225,CLOSED_SL
ACCEPTED,EURUSD,BUY,2026-08-07 14:00:00+00:00,1.15593,CLOSED_SL
ACCEPTED,EURUSD,SELL,2026-08-11 06:00:00+00:00,1.15409,CLOSED_SL
ACCEPTED,GBPUSD,BUY,2026-08-07 14:00:00+00:00,1.34916,CLOSED_OPPOSITE_SIGNAL_EXIT
ACCEPTED,EURUSD,SELL,2026-08-12 16:00:00+00:00,1.15389,CLOSED_OPPOSITE_SIGNAL_EXIT
ACCEPTED,EURUSD,BUY,2026-08-14 06:00:00+00:00,1.15433,CLOSED_TP
ACCEPTED,GBPUSD,SELL,2026-08-18 23:00:00+00:00,1.35334,CLOSED_OPPOSITE_SIGNAL_EXIT
ACCEPTED,GBPUSD,BUY,2026-08-19 05:00:00+00:00,1.35435,CLOSED_TP
ACCEPTED,GBPUSD,BUY,2026-08-25 09:00:00+00:00,1.36433,CLOSED_SL
ACCEPTED,EURUSD,SELL,2026-08-24 15:00:00+00:00,1.16650,CLOSED_SL
ACCEPTED,EURUSD,BUY,2026-08-25 20:00:00+00:00,1.16779,CLOSED_SL
ACCEPTED,EURUSD,SELL,2026-08-26 06:00:00+00:00,1.16639,CLOSED_SL
ACCEPTED,EURUSD,BUY,2026-08-26 09:00:00+00:00,1.16723,CLOSED_OPPOSITE_SIGNAL_EXIT
ACCEPTED,EURUSD,SELL,2026-08-26 10:00:00+00:00,1.16656,CLOSED_TP
ACCEPTED,EURUSD,BUY,2026-09-03 09:00:00+00:00,1.16109,CLOSED_SL
ACCEPTED,GBPUSD,SELL,2026-09-07 03:00:00+00:00,1.35065,CLOSED_SL
ACCEPTED,GBPUSD,BUY,2026-09-07 08:00:00+00:00,1.35347,CLOSED_SL
ACCEPTED,EURUSD,SELL,2026-09-10 14:00:00+00:00,1.16109,CLOSED_SL
ACCEPTED,GBPUSD,SELL,2026-09-10 14:00:00+00:00,1.35150,CLOSED_SL
