idea_id,symbol,direction,lots,entry_time_utc,entry_price,sl,tp,exit_time_utc,exit_price,exit_reason,same_bar_ambiguous,gross_pnl_usd,commission_usd,net_pnl_usd,r_multiple_net
ema-idea-2,EURUSD,SELL,0.08,2015-01-02 21:00:00+00:00,1.20022,1.2031887685096954,,2015-01-06 06:00:00+00:00,1.1960199999999999,DISCRETIONARY_EXIT,False,33.6000,0.4000,33.2000,1.3747
ema-idea-3,EURUSD,BUY,0.07,2015-01-06 07:00:00+00:00,1.19641,1.1932644774393333,,2015-01-06 08:20:00+00:00,1.1931644774393333,SL,False,-22.7187,0.3500,-23.0687,-1.0313
ema-idea-1,GBPUSD,SELL,0.05,2015-01-02 20:00:00+00:00,1.53344,1.5378058411550226,,2015-01-08 17:00:00+00:00,1.5121600000000002,DISCRETIONARY_EXIT,False,106.4000,0.2500,106.1500,4.8077
ema-idea-4,GBPUSD,BUY,0.07,2015-01-09 10:00:00+00:00,1.51365,1.5101995821639884,,2015-01-09 13:45:00+00:00,1.50971,SL_GAP,False,-27.5800,0.3500,-27.9300,-1.1399
ema-idea-6,GBPUSD,BUY,0.05,2015-01-11 23:00:00+00:00,1.51955,1.5148002793859543,,2015-01-12 08:00:00+00:00,1.5147002793859543,SL,False,-24.2486,0.2500,-24.4986,-1.0208
ema-idea-5,EURUSD,BUY,0.06,2015-01-11 23:00:00+00:00,1.18708,1.1831905606158786,,2015-01-12 08:15:00+00:00,1.1830905606158786,SL,False,-23.9366,0.3000,-24.2366,-1.0254
ema-idea-7,GBPUSD,SELL,0.06,2015-01-13 09:00:00+00:00,1.5119,1.5155916974957153,,2015-01-13 12:05:00+00:00,1.5156916974957153,SL,False,-22.7502,0.3000,-23.0502,-1.0267
ema-idea-8,EURUSD,SELL,0.06,2015-01-13 13:00:00+00:00,1.17799,1.181823881775792,,2015-01-14 06:00:00+00:00,1.1794499999999999,DISCRETIONARY_EXIT,False,-8.7600,0.3000,-9.0600,-0.3888
ema-idea-9,GBPUSD,BUY,0.05,2015-01-14 08:00:00+00:00,1.52135,1.5168824329570219,,2015-01-14 09:06:00+00:00,1.5167824329570219,SL,False,-22.8378,0.2500,-23.0878,-1.0221
ema-idea-10,EURUSD,SELL,0.05,2015-01-14 10:00:00+00:00,1.17434,1.178604889315776,,2015-01-14 13:30:00+00:00,1.17929,SL_GAP,False,-24.7500,0.2500,-25.0000,-1.1588
ema-idea-11,EURUSD,BUY,0.04,2015-01-14 14:00:00+00:00,1.18295,1.1777191919057715,,2015-01-14 15:01:00+00:00,1.1776191919057715,SL,False,-21.3232,0.2000,-21.5232,-1.0189
ema-idea-12,GBPUSD,BUY,0.04,2015-01-14 14:00:00+00:00,1.5262200000000001,1.5201345571850444,,2015-01-15 08:00:00+00:00,1.52171,DISCRETIONARY_EXIT,False,-18.0400,0.2000,-18.2400,-0.7432
ema-idea-13,EURUSD,SELL,0.04,2015-01-15 10:00:00+00:00,1.17228,1.1783764040391906,,2015-01-19 10:00:00+00:00,1.16191,DISCRETIONARY_EXIT,False,41.4800,0.2000,41.2800,1.6790
ema-idea-14,EURUSD,BUY,0.04,2015-01-19 10:00:00+00:00,1.16201,1.156545997716797,,2015-01-20 00:00:00+00:00,1.15948,DISCRETIONARY_EXIT,False,-10.1200,0.2000,-10.3200,-0.4679
ema-idea-15,GBPUSD,SELL,0.05,2015-01-19 20:00:00+00:00,1.51077,1.5156097438732175,,2015-01-20 09:00:00+00:00,1.51286,DISCRETIONARY_EXIT,False,-10.4500,0.2500,-10.7000,-0.4377
ema-idea-16,GBPUSD,BUY,0.05,2015-01-20 14:00:00+00:00,1.52028,1.5155429569959906,,2015-01-20 16:57:00+00:00,1.5154429569959906,SL,False,-24.1852,0.2500,-24.4352,-1.0209
