symbol,london_day,reason,detail
EURUSD,2026-07-16,INSUFFICIENT_RANGE_COVERAGE,65/84 M5 candles (77%) < required 85%
EURUSD,2026-07-20,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
EURUSD,2026-07-27,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
EURUSD,2026-08-03,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
EURUSD,2026-08-10,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
EURUSD,2026-08-17,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
EURUSD,2026-08-24,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
EURUSD,2026-08-31,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
EURUSD,2026-09-07,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
EURUSD,2026-09-14,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
GBPUSD,2026-07-15,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
GBPUSD,2026-07-20,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
GBPUSD,2026-07-27,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
GBPUSD,2026-08-03,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
GBPUSD,2026-08-10,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
GBPUSD,2026-08-17,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
GBPUSD,2026-08-24,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
GBPUSD,2026-08-31,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
GBPUSD,2026-09-07,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
GBPUSD,2026-09-14,INSUFFICIENT_RANGE_COVERAGE,71/84 M5 candles (85%) < required 85%
