utc_time,kind,detail
2026-07-15 21:57:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-15 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-16 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-17 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-20 00:05:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-20 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-21 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-22 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-23 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-24 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-27 00:05:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-27 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-28 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-29 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-30 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-31 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-08-03 00:05:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-08-03 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-08-04 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-08-05 22:00:00+00:00,ROLLOVER,balance_at_midnight=9975.12
2026-08-06 22:00:00+00:00,ROLLOVER,balance_at_midnight=9975.12
2026-08-07 22:00:00+00:00,ROLLOVER,balance_at_midnight=9975.12
2026-08-10 00:05:00+00:00,ROLLOVER,balance_at_midnight=9975.12
2026-08-10 22:00:00+00:00,ROLLOVER,balance_at_midnight=9975.12
2026-08-11 22:00:00+00:00,ROLLOVER,balance_at_midnight=9975.12
2026-08-12 22:00:00+00:00,ROLLOVER,balance_at_midnight=9975.12
2026-08-13 22:00:00+00:00,ROLLOVER,balance_at_midnight=9975.12
2026-08-14 22:00:00+00:00,ROLLOVER,balance_at_midnight=9968.44
2026-08-17 00:05:00+00:00,ROLLOVER,balance_at_midnight=9968.44
2026-08-17 22:00:00+00:00,ROLLOVER,balance_at_midnight=9968.44
2026-08-18 22:00:00+00:00,ROLLOVER,balance_at_midnight=9968.44
2026-08-19 22:00:00+00:00,ROLLOVER,balance_at_midnight=9963.51
2026-08-20 22:00:00+00:00,ROLLOVER,balance_at_midnight=9938.83
2026-08-21 22:00:00+00:00,ROLLOVER,balance_at_midnight=9938.83
2026-08-24 00:05:00+00:00,ROLLOVER,balance_at_midnight=9938.83
2026-08-24 22:00:00+00:00,ROLLOVER,balance_at_midnight=9938.83
2026-08-25 22:00:00+00:00,ROLLOVER,balance_at_midnight=9938.83
2026-08-26 22:00:00+00:00,ROLLOVER,balance_at_midnight=9938.83
2026-08-27 22:00:00+00:00,ROLLOVER,balance_at_midnight=9938.83
2026-08-28 22:00:00+00:00,ROLLOVER,balance_at_midnight=9938.83
2026-08-31 00:05:00+00:00,ROLLOVER,balance_at_midnight=9938.83
2026-08-31 22:00:00+00:00,ROLLOVER,balance_at_midnight=9938.83
2026-09-01 22:00:00+00:00,ROLLOVER,balance_at_midnight=9988.54
2026-09-02 22:00:00+00:00,ROLLOVER,balance_at_midnight=9888.92
2026-09-03 22:00:00+00:00,ROLLOVER,balance_at_midnight=9888.92
2026-09-04 22:00:00+00:00,ROLLOVER,balance_at_midnight=9888.92
2026-09-07 00:05:00+00:00,ROLLOVER,balance_at_midnight=9888.92
2026-09-07 22:00:00+00:00,ROLLOVER,balance_at_midnight=9888.92
2026-09-08 22:00:00+00:00,ROLLOVER,balance_at_midnight=9888.92
2026-09-09 22:00:00+00:00,ROLLOVER,balance_at_midnight=9928.51
2026-09-10 22:00:00+00:00,ROLLOVER,balance_at_midnight=9928.51
2026-09-11 22:00:00+00:00,ROLLOVER,balance_at_midnight=9902.51
2026-09-14 00:05:00+00:00,ROLLOVER,balance_at_midnight=9902.51
2026-09-14 22:00:00+00:00,ROLLOVER,balance_at_midnight=9902.51
2026-09-15 22:00:00+00:00,ROLLOVER,balance_at_midnight=9852.25
2026-09-16 22:00:00+00:00,ROLLOVER,balance_at_midnight=9852.25
2026-09-17 22:00:00+00:00,ROLLOVER,balance_at_midnight=9852.25
