symbol,direction,lots,entry_time_utc,entry_price,sl,tp,exit_time_utc,exit_price,exit_reason,same_bar_ambiguous,risk_usd_at_entry,gross_pnl_usd,commission_usd,net_pnl_usd,r_multiple_net
GBPUSD,BUY,0.89,2026-08-05 07:25:00+00:00,1.34607,1.3457905016533382,1.3462089966933237,2026-08-05 07:27:00+00:00,1.3457905016533382,SL,False,24.8754,-24.8754,0.0,-24.8754,-1.0
EURUSD,BUY,1.16,2026-08-14 07:40:00+00:00,1.15404,1.1538253593768533,1.1541392812462932,2026-08-14 07:44:00+00:00,1.1538253593768533,SL,False,24.8983,-24.8983,0.0,-24.8983,-1.0
GBPUSD,BUY,0.65,2026-08-14 08:05:00+00:00,1.3500100000000002,1.3496299091558455,1.350290181688309,2026-08-14 09:37:00+00:00,1.350290181688309,TP,False,24.7059,18.2118,0.0,18.2118,0.7371
GBPUSD,BUY,0.68,2026-08-19 08:50:00+00:00,1.35454,1.3541776443773241,1.3547847112453515,2026-08-19 08:56:00+00:00,1.3541776443773241,SL,False,24.6402,-24.6402,0.0,-24.6402,-1.0
EURUSD,BUY,0.84,2026-08-19 08:50:00+00:00,1.1589099999999999,1.1586126373700445,1.159144725259911,2026-08-19 09:17:00+00:00,1.159144725259911,TP,False,24.9785,19.7169,0.0,19.7169,0.7894
EURUSD,BUY,0.71,2026-08-20 09:55:00+00:00,1.16861,1.1682622623644185,1.168945475271163,2026-08-20 10:03:00+00:00,1.1682622623644185,SL,False,24.6894,-24.6894,0.0,-24.6894,-1.0
EURUSD,SELL,1.56,2026-09-01 09:25:00+00:00,1.16047,1.1606293458548875,1.1601513082902246,2026-09-01 09:38:00+00:00,1.1601513082902246,TP,False,24.858,49.7159,0.0,49.7159,2.0
GBPUSD,SELL,3.11,2026-09-02 07:15:00+00:00,1.34997,1.3500502777197194,1.349839444560561,2026-09-02 07:16:00+00:00,1.3502100000000001,SL_GAP,False,24.9664,-74.64,0.0,-74.64,-2.9896
EURUSD,SELL,1.7,2026-09-02 07:35:00+00:00,1.15759,1.1577369671364783,1.1572660657270435,2026-09-02 07:37:00+00:00,1.1577369671364783,SL,False,24.9844,-24.9844,0.0,-24.9844,-1.0
EURUSD,BUY,1.12,2026-09-09 08:00:00+00:00,1.16338,1.1631575886292134,1.1635248227415735,2026-09-09 08:27:00+00:00,1.1635248227415735,TP,False,24.9101,16.2201,0.0,16.2201,0.6511
GBPUSD,BUY,0.62,2026-09-09 08:00:00+00:00,1.35517,1.35477150757446,1.35554698485108,2026-09-09 09:03:00+00:00,1.35554698485108,TP,False,24.7065,23.3731,0.0,23.3731,0.946
EURUSD,SELL,2.6,2026-09-11 08:00:00+00:00,1.16046,1.1605558410538097,1.1602983178923802,2026-09-11 08:01:00+00:00,1.16056,SL_GAP,False,24.9187,-26.0,0.0,-26.0,-1.0434
GBPUSD,SELL,1.24,2026-09-15 08:20:00+00:00,1.34826,1.3484601666171945,1.347829666765611,2026-09-15 08:23:00+00:00,1.3484601666171945,SL,False,24.8207,-24.8207,0.0,-24.8207,-1.0
EURUSD,SELL,1.06,2026-09-15 08:35:00+00:00,1.15339,1.153624607948225,1.1528607841035499,2026-09-15 08:41:00+00:00,1.15363,SL_GAP,False,24.8684,-25.44,0.0,-25.44,-1.023
