symbol,direction,lots,entry_time_utc,entry_price,sl,tp,exit_time_utc,exit_price,exit_reason,net_pnl_usd,r_multiple_net
GBPUSD,BUY,0.27,2026-07-16 15:00:00+00:00,1.34894,1.3480339466690285,1.352339,2026-07-16 15:06:00+00:00,1.3480339466690285,SL,-25.8134,-1.0552
GBPUSD,BUY,0.22,2026-07-16 16:00:00+00:00,1.34846,1.347341164764098,1.3520804999999998,2026-07-16 16:15:00+00:00,1.347341164764098,SL,-25.7144,-1.0447
GBPUSD,BUY,0.28,2026-07-16 17:00:00+00:00,1.3467300000000002,1.3458428672809482,1.3517214999999998,2026-07-17 04:41:00+00:00,1.3458428672809482,SL,-26.2397,-1.0564
GBPUSD,BUY,0.29,2026-07-17 09:00:00+00:00,1.3444200000000002,1.3435821269841985,1.3471375,2026-07-17 09:21:00+00:00,1.3435821269841985,SL,-25.7483,-1.0597
EURUSD,BUY,0.37,2026-07-16 17:00:00+00:00,1.1435899999999999,1.1429273163936853,1.1460940000000002,2026-07-17 10:51:00+00:00,1.1429273163936853,SL,-26.3693,-1.0755
GBPUSD,BUY,0.16,2026-07-17 10:00:00+00:00,1.34444,1.3429530464853272,1.3468110000000002,2026-07-17 10:51:00+00:00,1.3429530464853272,SL,-24.5913,-1.0336
EURUSD,BUY,0.39,2026-07-17 11:00:00+00:00,1.14282,1.1421921142427802,1.144053,2026-07-17 14:19:00+00:00,1.144053,TP,46.137,1.8841
GBPUSD,BUY,0.18,2026-07-17 11:00:00+00:00,1.34336,1.341974614593518,1.3465285000000002,2026-07-20 04:26:00+00:00,1.3465285000000002,TP,56.133,2.251
GBPUSD,SELL,0.23,2026-07-20 08:00:00+00:00,1.3476,1.3486454423930438,1.3453155,2026-07-20 12:30:00+00:00,1.3453155,TP,51.3935,2.1374
EURUSD,BUY,0.41,2026-07-20 14:00:00+00:00,1.1415899999999999,1.140987833073419,1.1433835,2026-07-20 14:36:00+00:00,1.140987833073419,SL,-26.7388,-1.083
GBPUSD,BUY,0.19,2026-07-20 16:00:00+00:00,1.3419400000000001,1.3406638754916906,1.345489,2026-07-21 07:08:00+00:00,1.345489,TP,66.481,2.7419
GBPUSD,BUY,0.21,2026-07-21 12:00:00+00:00,1.3406600000000002,1.3395057356699172,1.3430480000000002,2026-07-21 12:16:00+00:00,1.3395,SL_GAP,-25.41,-1.0483
GBPUSD,BUY,0.15,2026-07-21 13:00:00+00:00,1.33914,1.337481040264923,1.3428910000000003,2026-07-21 13:32:00+00:00,1.337481040264923,SL,-25.6344,-1.0301
EURUSD,BUY,0.25,2026-07-20 15:00:00+00:00,1.14075,1.1397858449967464,1.1432395000000002,2026-07-21 21:05:00+00:00,1.1397,SL_GAP,-27.5,-1.1409
EURUSD,SELL,0.7,2026-07-23 01:00:00+00:00,1.14172,1.142072584975796,1.1409835,2026-07-23 01:01:00+00:00,1.142072584975796,SL,-28.1809,-1.1418
EURUSD,SELL,0.64,2026-07-23 03:00:00+00:00,1.14276,1.1431476370454567,1.141095,2026-07-23 04:07:00+00:00,1.1431476370454567,SL,-28.0088,-1.129
EURUSD,SELL,0.39,2026-07-23 05:00:00+00:00,1.14327,1.1439031411259295,1.1413065,2026-07-23 08:36:00+00:00,1.1413065,TP,74.6265,3.0222
GBPUSD,BUY,0.08,2026-07-21 14:00:00+00:00,1.33833,1.335214537388857,1.3426420000000001,2026-07-23 11:35:00+00:00,1.335214537388857,SL,-25.3237,-1.016
EURUSD,BUY,0.15,2026-07-23 12:00:00+00:00,1.13954,1.1378765654513885,1.141523,2026-07-23 12:42:00+00:00,1.1378765654513885,SL,-25.7015,-1.0301
GBPUSD,BUY,0.1,2026-07-23 12:00:00+00:00,1.3356800000000002,1.3333933062546355,1.3375340000000002,2026-07-23 13:06:00+00:00,1.3333933062546355,SL,-23.3669,-1.0219
EURUSD,BUY,0.16,2026-07-23 13:00:00+00:00,1.13859,1.1370768107762894,1.1414025,2026-07-23 13:12:00+00:00,1.1370768107762894,SL,-25.011,-1.033
GBPUSD,BUY,0.26,2026-07-23 14:00:00+00:00,1.33297,1.3320326467195582,1.3371674999999998,2026-07-23 14:21:00+00:00,1.3320326467195582,SL,-25.6712,-1.0533
GBPUSD,BUY,0.15,2026-07-23 15:00:00+00:00,1.3321500000000002,1.3305403148110182,1.3368980000000001,2026-07-23 15:30:00+00:00,1.3305403148110182,SL,-24.8953,-1.0311
EURUSD,BUY,0.22,2026-07-23 14:00:00+00:00,1.13738,1.1362759671494116,1.141215,2026-07-27 00:32:00+00:00,1.141215,TP,83.27,3.4283
