symbol,direction,lots,entry_time_utc,entry_price,sl,tp,exit_time_utc,exit_price,exit_reason,net_pnl_usd,r_multiple_net
EURUSD,BUY,0.22,2026-07-23 05:00:00+00:00,1.14337,1.1422605766222114,1.1462582701333657,2026-07-23 07:04:00+00:00,1.1422605766222114,SL,-25.5073,-1.0451
EURUSD,SELL,0.18,2026-07-23 12:00:00+00:00,1.13944,1.1408003036458343,1.1354790890624973,2026-07-27 00:23:00+00:00,1.1408003036458343,SL,-25.3855,-1.0368
EURUSD,BUY,0.16,2026-07-27 06:00:00+00:00,1.14071,1.1392159645926496,1.144832106222051,2026-07-27 11:07:00+00:00,1.1392159645926496,SL,-24.7046,-1.0335
EURUSD,SELL,0.16,2026-07-27 14:00:00+00:00,1.13741,1.1389664224751017,1.1327807325746952,2026-07-28 15:10:00+00:00,1.1389664224751017,SL,-25.7028,-1.0321
EURUSD,BUY,0.17,2026-07-28 23:00:00+00:00,1.13862,1.1372266280835341,1.1423601157493972,2026-07-29 18:00:00+00:00,1.1423601157493972,TP,62.732,2.6483
GBPUSD,BUY,0.08,2026-07-29 20:00:00+00:00,1.33477,1.3318093753990006,1.342971873802998,2026-07-30 14:00:00+00:00,1.342971873802998,TP,65.215,2.7534
GBPUSD,SELL,0.13,2026-08-04 03:00:00+00:00,1.34267,1.3444581086742284,1.3373456739773153,2026-08-04 10:07:00+00:00,1.3444581086742284,SL,-23.8954,-1.028
EURUSD,SELL,0.2,2026-08-06 20:00:00+00:00,1.1523,1.1535194600302423,1.1486816199092726,2026-08-07 12:00:00+00:00,1.1535194600302423,SL,-25.3892,-1.041
GBPUSD,BUY,0.14,2026-08-04 13:00:00+00:00,1.34444,1.3426595508738635,1.3491413473784095,2026-08-07 12:34:00+00:00,1.3491413473784095,TP,65.1189,2.6125
EURUSD,BUY,0.15,2026-08-07 14:00:00+00:00,1.15588,1.154213934436495,1.1603581966905154,2026-08-10 17:20:00+00:00,1.154213934436495,SL,-25.741,-1.03
EURUSD,SELL,0.27,2026-08-11 06:00:00+00:00,1.15414,1.1550431184571528,1.1513106446285413,2026-08-12 09:24:00+00:00,1.1550431184571528,SL,-25.7342,-1.0554
EURUSD,BUY,0.17,2026-08-12 15:00:00+00:00,1.15438,1.1529510476592917,1.1583468570221254,2026-08-12 16:33:00+00:00,1.1529510476592917,SL,-25.1422,-1.035
EURUSD,BUY,0.23,2026-08-14 06:00:00+00:00,1.15428,1.1532044910326837,1.157106526901949,2026-08-14 11:40:00+00:00,1.157106526901949,TP,63.8601,2.5816
GBPUSD,BUY,0.11,2026-08-07 14:00:00+00:00,1.34911,1.3469609269150606,1.354877219254818,2026-08-14 12:30:00+00:00,1.354877219254818,TP,62.8894,2.6603
GBPUSD,SELL,0.18,2026-08-18 23:00:00+00:00,1.35339,1.3547108154827392,1.349307553551782,2026-08-19 06:04:00+00:00,1.3547108154827392,SL,-24.6747,-1.0379
GBPUSD,SELL,0.18,2026-08-25 06:00:00+00:00,1.36224,1.3635825642184385,1.3582523073446842,2026-08-25 07:03:00+00:00,1.3635825642184385,SL,-25.0662,-1.0372
GBPUSD,BUY,0.15,2026-08-25 09:00:00+00:00,1.3642800000000002,1.3626774731822486,1.3684475804532539,2026-08-25 12:37:00+00:00,1.3626774731822486,SL,-24.7879,-1.0312
EURUSD,SELL,0.19,2026-08-24 15:00:00+00:00,1.16655,1.167851735719795,1.1626047928406142,2026-08-25 19:16:00+00:00,1.167851735719795,SL,-25.683,-1.0384
EURUSD,BUY,0.2,2026-08-25 20:00:00+00:00,1.16774,1.1665249763136325,1.170905071059103,2026-08-26 03:31:00+00:00,1.1665249763136325,SL,-25.3005,-1.0412
EURUSD,SELL,0.26,2026-08-26 06:00:00+00:00,1.16644,1.1673817513634017,1.1635747459097954,2026-08-26 07:37:00+00:00,1.1673817513634017,SL,-25.7855,-1.0531
EURUSD,BUY,0.24,2026-08-26 09:00:00+00:00,1.1671799999999999,1.1661467227604252,1.1700398317187244,2026-08-26 10:57:00+00:00,1.1661467227604252,SL,-25.9987,-1.0484
GBPUSD,SELL,0.19,2026-08-26 11:00:00+00:00,1.36202,1.3632954325325157,1.3581137024024534,2026-08-26 12:06:00+00:00,1.3632954325325157,SL,-25.1832,-1.0392
EURUSD,BUY,0.17,2026-09-03 09:00:00+00:00,1.16104,1.1596362944013203,1.164691116796039,2026-09-04 12:30:00+00:00,1.1596362944013203,SL,-24.713,-1.0356
GBPUSD,BUY,0.1,2026-09-03 18:00:00+00:00,1.3540100000000002,1.3517221973266342,1.360233408020097,2026-09-04 12:30:00+00:00,1.3517221973266342,SL,-23.378,-1.0219
GBPUSD,SELL,0.16,2026-09-07 03:00:00+00:00,1.3507,1.3522403620603947,1.3459989138188166,2026-09-07 06:22:00+00:00,1.3522403620603947,SL,-25.4458,-1.0325
GBPUSD,BUY,0.14,2026-09-07 08:00:00+00:00,1.35342,1.3517073945742657,1.3579178162772023,2026-09-10 12:16:00+00:00,1.3517073945742657,SL,-24.6765,-1.0292
EURUSD,SELL,0.15,2026-09-10 14:00:00+00:00,1.16114,1.1627705751082114,1.156248274675366,2026-09-10 14:35:00+00:00,1.1627705751082114,SL,-25.2086,-1.0307
GBPUSD,SELL,0.12,2026-09-10 14:00:00+00:00,1.35155,1.3535576853629983,1.3455269439110054,2026-09-10 15:11:00+00:00,1.3535576853629983,SL,-24.6922,-1.0249
