fast_period,slow_period,atr_sl_multiple,tp_r_multiple,trades,net_usd
30,100,2.0,3.0,10,397.19013666965293
30,100,1.5,3.0,10,303.151500164111
30,40,2.0,3.0,23,270.0361748625746
30,50,1.0,3.0,22,240.90868523320933
30,100,2.0,2.0,10,237.47966047654154
20,50,2.0,3.0,24,236.3708123768738
20,100,2.0,3.0,17,223.44936824704746
30,40,2.0,2.0,25,212.25389651010482
20,100,1.5,3.0,18,198.44210253626807
30,50,2.0,3.0,19,189.93546611280362
30,100,1.5,2.0,10,165.57023508240127
30,100,2.0,1.5,10,157.62442237998948
30,100,1.5,1.5,10,154.65578972268122
30,50,2.0,2.0,21,112.48689611594091
30,40,2.0,1.5,26,106.9842173694633
30,50,1.0,2.0,22,105.13768852325302
20,100,1.5,2.0,18,101.68644485983532
30,50,1.5,2.0,21,94.1179338575148
30,50,1.5,3.0,19,88.72856780690381
20,50,2.0,1.5,27,79.77131441201891
20,100,2.0,2.0,17,63.19414928851256
30,50,2.0,1.5,21,61.78147766501206
30,50,1.0,1.5,22,55.034811229043044
20,50,2.0,2.0,26,48.39442399124346
10,40,2.0,3.0,32,46.725215951266364
20,100,2.0,1.5,17,39.94686000642287
10,100,2.0,3.0,21,28.515008063141067
30,100,1.0,3.0,10,12.267771346620066
20,100,1.0,2.0,18,11.809937962281765
20,100,1.5,1.5,18,9.87273514377921
30,40,1.0,3.0,30,8.912210416243397
20,100,1.0,3.0,18,-4.384180994826238
30,50,1.5,1.5,21,-9.112153131496598
20,100,1.0,1.5,18,-12.7362480728425
20,40,2.0,2.0,29,-29.828888327394452
30,100,1.0,1.5,10,-34.42551747334437
20,40,2.0,1.5,30,-49.19119362240053
10,40,2.0,1.5,35,-53.73992061441277
30,40,1.0,1.5,30,-53.935017158615665
30,100,1.0,2.0,10,-54.93328943173219
10,100,2.0,1.5,21,-65.15453422931569
20,40,2.0,3.0,23,-106.28607787981673
10,100,2.0,2.0,21,-107.25866102827058
30,40,1.0,2.0,30,-112.86455316437969
30,40,1.5,2.0,30,-152.75691840074796
10,100,1.5,3.0,25,-176.0953822260435
20,50,1.5,2.0,31,-176.19369824565547
20,40,1.5,1.5,36,-223.74510251156426
10,100,1.0,3.0,26,-224.3727306790097
10,100,1.5,2.0,25,-224.47461078523702
10,100,1.0,1.5,26,-231.21938425142434
10,100,1.5,1.5,25,-235.33618319331617
20,50,1.0,3.0,33,-236.71343365786197
30,40,1.5,3.0,27,-236.81996917352808
20,50,1.0,1.5,33,-239.21996109693646
20,40,1.5,2.0,34,-242.96112889795222
30,40,1.5,1.5,30,-252.57168515164267
20,50,1.5,3.0,28,-257.9804774277836
10,40,2.0,2.0,33,-258.9357644984211
20,40,1.0,1.5,36,-260.62437970031715
10,40,1.5,1.5,45,-262.79691603150786
20,50,1.5,1.5,31,-276.49107822710175
10,40,1.5,2.0,45,-305.16780310490685
10,40,1.0,3.0,50,-308.0292783236837
20,40,1.0,2.0,36,-317.7899439245284
20,50,1.0,2.0,33,-325.5329505272275
20,40,1.5,3.0,31,-329.6050491572332
10,100,1.0,2.0,26,-335.58360161239943
20,40,1.0,3.0,35,-367.70517277538784
10,50,1.5,3.0,40,-370.71993213965106
10,50,2.0,2.0,33,-399.98077518201353
10,50,2.0,1.5,33,-408.05024580799363
10,50,1.5,2.0,41,-416.525916816885
10,40,1.5,3.0,43,-443.15184992049944
10,40,1.0,1.5,50,-446.85047525965274
10,50,2.0,3.0,33,-452.88845741775185
10,50,1.5,1.5,41,-464.1503885464099
10,40,1.0,2.0,50,-478.43500223842966
10,50,1.0,3.0,47,-495.17695159953473
10,50,1.0,1.5,47,-535.589964963403
10,50,1.0,2.0,47,-674.2533491176091
