symbol,london_day,reason,detail
EURUSD,2026-07-15,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
EURUSD,2026-07-19,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
EURUSD,2026-07-26,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
EURUSD,2026-08-02,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
EURUSD,2026-08-09,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
EURUSD,2026-08-16,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
EURUSD,2026-08-23,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
EURUSD,2026-08-30,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
EURUSD,2026-09-06,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
EURUSD,2026-09-13,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
GBPUSD,2026-07-15,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
GBPUSD,2026-07-19,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
GBPUSD,2026-07-26,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
GBPUSD,2026-08-02,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
GBPUSD,2026-08-09,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
GBPUSD,2026-08-16,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
GBPUSD,2026-08-23,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
GBPUSD,2026-08-30,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
GBPUSD,2026-09-06,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
GBPUSD,2026-09-13,NO_RANGE_DATA,"zero M5 candles observed in [00:00,07:00) London"
