symbol,direction,lots,entry_time_utc,entry_price,sl,tp,exit_time_utc,exit_price,exit_reason,same_bar_ambiguous,risk_usd_at_entry,gross_pnl_usd,commission_usd,net_pnl_usd,r_multiple_net
GBPUSD,SELL,3.78,2026-07-30 07:40:00+00:00,1.33413,1.3341961182209305,1.3339377635581386,2026-07-30 07:40:00+00:00,1.3342800000000001,SL_GAP,False,24.9927,-56.7,18.9,-75.6,-3.0249
GBPUSD,BUY,0.84,2026-08-04 07:30:00+00:00,1.3435400000000002,1.3432447178825064,1.343710564234987,2026-08-04 07:34:00+00:00,1.343710564234987,TP,False,24.8037,14.3274,4.2,10.1274,0.4083
GBPUSD,BUY,1.22,2026-08-05 07:25:00+00:00,1.3461100000000001,1.3459059016052515,1.3460981967894974,2026-08-05 07:25:00+00:00,1.3459059016052515,SL,True,24.9,-24.9,6.1,-31.0,-1.245
EURUSD,BUY,0.61,2026-08-05 08:30:00+00:00,1.15444,1.1540307516212798,1.1549884967574404,2026-08-05 08:38:00+00:00,1.1540307516212798,SL,False,24.9642,-24.9642,3.05,-28.0142,-1.1222
EURUSD,BUY,1.56,2026-08-07 09:40:00+00:00,1.15269,1.1525300520544763,1.1527398958910475,2026-08-07 09:40:00+00:00,1.1527398958910475,TP,False,24.9519,7.7838,7.8,-0.0162,-0.0007
GBPUSD,BUY,0.81,2026-08-10 07:20:00+00:00,1.3496100000000002,1.3493030815400124,1.3497738369199754,2026-08-10 07:20:00+00:00,1.3493030815400124,SL,False,24.8604,-24.8604,4.05,-28.9104,-1.1629
EURUSD,BUY,0.72,2026-08-10 08:00:00+00:00,1.1562,1.1558528719235897,1.1565642561528209,2026-08-10 09:36:00+00:00,1.1558528719235897,SL,False,24.9932,-24.9932,3.6,-28.5932,-1.144
GBPUSD,BUY,0.38,2026-08-12 09:05:00+00:00,1.3516400000000002,1.3509861834136212,1.3524676331727576,2026-08-12 09:23:00+00:00,1.3524676331727576,TP,False,24.845,31.4501,1.9,29.5501,1.1894
GBPUSD,BUY,0.66,2026-08-17 09:40:00+00:00,1.35606,1.3556848496603997,1.3563603006792004,2026-08-17 10:00:00+00:00,1.3556848496603997,SL,False,24.7599,-24.7599,3.3,-28.0599,-1.1333
GBPUSD,BUY,0.75,2026-08-21 08:50:00+00:00,1.36573,1.3654007249736415,1.3659685500527172,2026-08-21 08:51:00+00:00,1.3659685500527172,TP,False,24.6956,17.8913,3.75,14.1413,0.5726
EURUSD,BUY,0.71,2026-08-25 09:15:00+00:00,1.16738,1.1670313843192266,1.167777231361547,2026-08-25 09:17:00+00:00,1.1670313843192266,SL,False,24.7517,-24.7517,3.55,-28.3017,-1.1434
GBPUSD,BUY,0.29,2026-08-25 09:05:00+00:00,1.3647500000000001,1.3639103975908022,1.3660092048183958,2026-08-25 10:11:00+00:00,1.3639103975908022,SL,False,24.3485,-24.3485,1.45,-25.7985,-1.0596
GBPUSD,SELL,1.73,2026-08-27 08:45:00+00:00,1.35844,1.3585839681013485,1.3581820637973028,2026-08-27 08:45:00+00:00,1.3585900000000002,SL_GAP,False,24.9065,-25.95,8.65,-34.6,-1.3892
GBPUSD,SELL,4.67,2026-08-28 07:35:00+00:00,1.35872,1.3587734652286205,1.358463069542759,2026-08-28 07:35:00+00:00,1.35887,SL_GAP,False,24.9683,-70.05,23.35,-93.4,-3.7407
EURUSD,SELL,1.92,2026-09-02 07:30:00+00:00,1.15734,1.157469547563804,1.1570809048723922,2026-09-02 07:30:00+00:00,1.157469547563804,SL,False,24.8731,-24.8731,9.6,-34.4731,-1.386
GBPUSD,SELL,0.41,2026-09-02 09:55:00+00:00,1.34887,1.3494678815353467,1.3475842369293067,2026-09-02 12:58:00+00:00,1.3475842369293067,TP,False,24.5131,52.7163,2.05,50.6663,2.0669
GBPUSD,SELL,0.62,2026-09-04 10:00:00+00:00,1.35229,1.352690002655658,1.3514899946886838,2026-09-04 10:16:00+00:00,1.352690002655658,SL,False,24.8002,-24.8002,3.1,-27.9002,-1.125
GBPUSD,SELL,0.3,2026-09-08 08:10:00+00:00,1.35275,1.3535814551712442,1.351177089657512,2026-09-08 10:20:00+00:00,1.3535814551712442,SL,False,24.9437,-24.9437,1.5,-26.4437,-1.0601
EURUSD,SELL,0.69,2026-09-11 09:05:00+00:00,1.15989,1.1602485288508402,1.1591429422983197,2026-09-11 09:23:00+00:00,1.1602485288508402,SL,False,24.7385,-24.7385,3.45,-28.1885,-1.1395
EURUSD,SELL,1.39,2026-09-15 09:00:00+00:00,1.15333,1.1535094366102054,1.1529411267795888,2026-09-15 09:00:00+00:00,1.1535094366102054,SL,False,24.9417,-24.9417,6.95,-31.8917,-1.2786
