fast_period,slow_period,atr_sl_multiple,tp_r_multiple,trades,net_usd
30,100,2.0,3.0,10,385.95033666965173
30,100,2.0,2.0,10,229.84686047654031
30,100,1.5,3.0,9,215.3421720948736
30,40,2.0,3.0,21,212.04227930387242
30,40,2.0,2.0,23,179.11506456913594
30,100,2.0,1.5,10,150.66842237998935
20,50,2.0,3.0,20,129.908439597717
30,100,1.5,1.5,9,109.31027568806348
30,100,1.5,2.0,9,107.69224970290816
20,100,1.5,3.0,14,99.5925801251069
20,100,2.0,3.0,14,99.07902923607435
30,50,1.0,3.0,20,93.25202677757443
30,40,2.0,1.5,24,89.81963836030627
30,50,2.0,3.0,16,61.135851304630705
20,100,1.5,2.0,14,53.21391756207777
20,50,2.0,1.5,23,49.76610674904987
10,100,2.0,3.0,16,43.254894955734926
30,50,2.0,2.0,18,34.520603511702575
30,100,1.0,3.0,9,25.59401403636366
10,40,2.0,3.0,25,13.673973707302139
30,50,1.0,2.0,20,8.273216219495225
30,50,1.5,2.0,19,-5.282172933459151
20,100,2.0,1.5,14,-8.777492075592818
20,100,2.0,2.0,14,-11.209265103156213
20,50,2.0,2.0,22,-11.411760647737538
30,50,2.0,1.5,19,-12.876584177158293
20,100,1.5,1.5,14,-14.788294597276035
30,50,1.0,1.5,20,-19.102478449905902
30,100,1.0,1.5,9,-20.2344747836014
10,40,2.0,1.5,29,-33.10414816802586
30,40,1.0,1.5,29,-33.86756122672159
30,40,1.0,3.0,28,-37.496313009756705
30,100,1.0,2.0,9,-40.74224674198922
30,50,1.5,3.0,16,-41.12158844750229
20,100,1.0,1.5,17,-55.20169732089562
20,100,1.0,2.0,15,-57.533897106673976
10,100,2.0,1.5,18,-61.736064466485914
10,100,2.0,2.0,16,-68.58801995682552
30,50,1.5,1.5,19,-84.81730822472855
20,40,2.0,3.0,21,-86.86762491132322
10,100,1.5,3.0,21,-89.60221142933915
20,100,1.0,3.0,14,-96.70225538860905
30,40,1.0,2.0,29,-97.44229723248463
20,40,2.0,1.5,27,-104.02463295377675
20,40,2.0,2.0,26,-116.37129016972904
10,100,1.5,2.0,22,-161.14723834659162
10,100,1.5,1.5,22,-168.21201075467252
20,50,1.0,1.5,30,-176.30886209172786
10,50,2.0,1.5,30,-178.1252945930919
20,50,1.5,2.0,28,-179.50912289333246
30,40,1.5,2.0,28,-179.77607419608648
10,100,1.0,3.0,24,-183.3807763729601
20,40,1.5,1.5,34,-186.72142925673506
10,40,1.5,1.5,40,-204.37192628979392
10,100,1.0,1.5,25,-213.22057104276064
20,40,1.0,1.5,34,-218.75219038909017
10,40,1.5,2.0,39,-233.18856425339618
20,50,1.0,3.0,29,-234.27711401054876
20,50,1.5,1.5,29,-236.78789114754727
10,50,2.0,3.0,27,-238.03257552362265
10,50,2.0,2.0,29,-249.1919314964016
20,40,1.5,2.0,31,-251.80129395973017
20,50,1.0,2.0,30,-262.6218515220189
30,40,1.5,1.5,28,-268.3934880151737
10,40,2.0,2.0,27,-269.633864659545
30,40,1.5,3.0,24,-273.05883905530936
20,40,1.0,2.0,34,-279.12515461330077
20,40,1.5,3.0,28,-283.4140094281465
10,100,1.0,2.0,24,-294.59164730634984
20,50,1.5,3.0,25,-296.64745569542174
20,40,1.0,3.0,32,-302.51166119454683
10,50,1.5,3.0,34,-322.06817198475255
10,40,1.0,3.0,44,-330.9506158169097
10,50,1.5,2.0,35,-343.5284432257704
10,40,1.5,3.0,36,-373.6823130732173
10,40,1.0,1.5,45,-377.78291166184135
10,50,1.5,1.5,36,-404.8315425573692
10,50,1.0,3.0,40,-416.49294256215217
10,50,1.0,1.5,41,-444.5411545331426
10,40,1.0,2.0,44,-459.2370326022192
10,50,1.0,2.0,41,-597.1597256855148
